,w1,w2,w3,w4,A,Y,Y.1,Y.0
1,1,1,2,3,0,0,1,0
2,1,0,1,2,0,1,1,1
3,0,1,0,2,1,0,0,0
4,0,0,2,1,0,0,1,0
5,1,1,2,5,0,1,1,1
6,1,0,3,1,1,1,1,1
7,1,1,1,0,0,1,0,1
8,1,1,2,4,0,1,1,1
9,1,0,3,5,0,1,1,1
10,0,0,3,1,0,0,1,0
11,0,1,3,3,0,0,1,0
12,1,1,4,3,0,1,1,1
13,1,1,3,2,0,0,1,0
14,1,1,3,4,1,1,1,1
15,0,1,3,1,0,1,1,1
16,0,1,4,3,0,1,1,1
17,0,1,3,2,0,0,0,0
18,1,1,1,5,1,1,1,1
19,1,1,0,1,0,0,0,0
20,1,1,4,1,0,1,0,1
21,0,1,0,4,1,1,1,0
22,1,0,2,2,0,0,1,0
23,1,0,3,4,0,1,1,1
24,1,1,3,1,0,1,1,1
25,0,1,1,1,0,1,1,1
26,0,0,3,1,0,1,1,1
27,1,0,2,3,0,0,1,0
28,0,1,1,4,0,0,1,0
29,1,1,1,4,0,1,1,1
30,1,1,2,3,0,1,1,1
31,1,1,3,2,1,1,1,1
32,1,1,3,3,0,1,1,1
33,0,0,1,0,0,1,1,1
34,0,1,3,3,0,1,1,1
35,0,1,1,3,1,1,1,1
36,0,0,0,1,0,1,1,1
37,1,1,3,2,1,1,1,1
38,0,0,4,0,0,1,1,1
39,0,0,2,4,0,1,0,1
40,0,0,3,2,0,1,0,1
41,1,1,3,1,0,1,1,1
42,0,0,4,1,0,0,0,0
43,0,0,3,2,0,0,0,0
44,1,0,3,5,1,1,1,1
45,1,1,3,3,0,1,1,1
46,1,0,2,1,0,0,0,0
47,0,1,3,4,1,0,0,1
48,0,1,1,4,1,0,0,0
49,1,0,0,1,0,0,1,0
50,1,0,0,0,0,1,0,1
51,1,0,1,5,0,1,1,1
52,1,1,2,3,0,1,1,1
53,0,1,2,3,0,0,1,0
54,0,1,4,3,1,1,1,1
55,0,1,0,4,0,1,1,1
56,1,0,1,2,0,0,0,0
57,1,1,1,2,0,1,1,1
58,0,0,3,2,0,1,1,1
59,1,0,0,1,0,0,1,0
60,0,0,4,4,0,1,1,1
61,1,0,3,3,0,1,1,1
62,1,0,1,4,0,0,1,0
63,1,1,3,3,0,1,1,1
64,1,0,3,0,0,1,1,1
65,0,1,3,0,0,0,1,0
66,0,1,2,2,0,0,1,0
67,1,1,4,4,0,1,1,1
68,1,1,4,3,1,1,1,1
69,0,1,0,1,0,0,0,0
70,1,1,1,4,1,1,1,1
71,1,1,2,2,0,1,0,1
72,0,1,0,4,0,0,1,0
73,0,1,2,2,0,0,1,0
74,0,1,2,3,0,1,1,1
75,1,0,4,3,1,1,1,1
76,1,1,1,4,0,1,1,1
77,0,1,0,1,0,0,1,0
78,0,1,1,3,0,1,1,1
79,1,1,3,4,0,1,1,1
80,1,1,0,1,0,1,1,1
81,0,1,2,4,0,1,1,1
82,0,1,2,4,0,1,0,1
83,0,0,2,0,0,0,0,0
84,0,1,2,0,0,1,1,1
85,0,1,4,3,0,1,1,1
86,0,1,2,3,1,1,1,1
87,0,0,3,0,0,0,1,0
88,1,1,1,3,0,1,1,1
89,0,1,2,2,0,1,0,1
90,1,1,3,2,0,0,1,0
91,0,0,0,0,0,0,1,0
92,1,1,2,3,0,1,1,1
93,1,0,0,4,1,1,1,0
94,1,0,4,3,0,1,1,1
95,0,1,3,1,0,1,0,1
96,1,1,2,2,0,0,1,0
97,0,1,1,3,0,1,1,1
98,0,1,4,3,0,1,1,1
99,1,1,1,3,0,1,1,1
100,1,1,3,3,0,0,1,0
101,1,1,2,4,0,1,1,1
102,0,0,0,2,0,1,1,1
103,1,0,2,2,0,1,0,1
104,0,0,3,2,0,1,1,1
105,1,1,4,0,0,0,1,0
106,0,1,1,4,0,1,1,1
107,0,1,2,2,0,1,1,1
108,0,0,1,0,0,0,0,0
109,0,1,2,4,0,1,1,1
110,1,1,2,2,0,0,1,0
111,0,1,2,3,0,0,1,0
112,1,0,2,4,0,0,1,0
113,0,1,0,5,0,1,1,1
114,1,1,4,4,1,1,1,1
115,1,0,2,5,0,0,1,0
116,1,1,0,0,0,0,1,0
117,1,1,0,0,0,1,0,1
118,0,1,1,3,0,0,1,0
119,1,0,0,1,0,0,1,0
120,1,1,2,4,0,1,1,1
121,1,1,3,3,1,1,1,1
122,0,0,1,3,0,0,1,0
123,0,1,3,2,0,1,1,1
124,1,1,3,0,0,0,1,0
125,0,0,4,4,0,0,1,0
126,0,1,0,3,0,1,0,1
127,1,1,2,1,0,0,0,0
128,1,1,3,4,0,1,1,1
129,1,0,3,0,0,0,1,0
130,0,0,1,0,0,0,1,0
131,1,1,1,5,1,1,1,1
132,0,0,4,5,0,1,1,1
133,0,1,4,3,0,1,1,1
